-25 - -30 == 0 -0.0000008927  0.0017468059  -0.001  1.00000    
-20 - -30 == 0  0.0015816811  0.0017468059   0.905  0.94344    
-15 - -30 == 0  0.0016545342  0.0017468059   0.947  0.93215    
-10 - -30 == 0  0.0073945107  0.0017468059   4.233  0.00118 ** 
-5 - -30 == 0   0.0290765725  0.0017468059  16.646  < 0.001 ***
-20 - -25 == 0  0.0015825738  0.0017468059   0.906  0.94333    
-15 - -25 == 0  0.0016554269  0.0017468059   0.948  0.93201    
-10 - -25 == 0  0.0073954035  0.0017468059   4.234  0.00122 ** 
-5 - -25 == 0   0.0290774652  0.0017468059  16.646  < 0.001 ***
-15 - -20 == 0  0.0000728531  0.0017468059   0.042  1.00000    
-10 - -20 == 0  0.0058128297  0.0017468059   3.328  0.01883 *  
-5 - -20 == 0   0.0274948914  0.0017468059  15.740  < 0.001 ***
-10 - -15 == 0  0.0057399766  0.0017468059   3.286  0.02087 *  
-5 - -15 == 0   0.0274220383  0.0017468059  15.698  < 0.001 ***
-5 - -10 == 0   0.0216820617  0.0017468059  12.412  < 0.001 ***
